f,Vin,scala_Vin,Vout,scala_Vout,t,scala_t,auto
371,692,100,12000,2000,,,112
368,652,100,12300,2000,,,94.9
366,657,100,12300,2000,,,82
362,724,100,12100,2000,,,60.4
353,1010,100,10800,2000,,,32.5
335,1360,200,7520,2000,,,14.9
310,1470,200,5040,2000,,,8.33
270,1540,200,3200,2000,,,2.33
200,1550,200,2160,2000,,,0
374,752,200,11600,2000,,,125
377,832,200,11000,2000,,,133
380,928,200,10500,2000,,,141
390,1170,200,8480,2000,,,156
405,1360,200,6080,2000,,,165
420,1440,200,4600,1000,,,170
450,1500,200,2960,500,,,172
540,1550,200,1300,200,,,175
630,1550,200,740,100,,,175
