f, t, scala, auto
12, 8.28, 0.5, 35.4
13, 8.14, 0.5, 38.1
14, 7.92, 0.5, 40.3
15, 7.78, 0.5, 42.1
16, 7.58, 0.5, 43.7
17, 7.44, 0.5, 45.3
18, 7.24, 0.5, 46.6
19, 7.06, 0.5, 48.5
